"COD","GINI","TX_HOMICIDIO","TX_SUICIDIO","EXPORTACAO_PERCAPITA","POUPANCA_PERCAPITA","ARRECADACAO_TOTAL_IMPOSTOS_PERCAPITA","DESP_CIENCIA_TEC_PERCAPITA","VALOR_TOTAL_BF_PERCAPITA","DESP_LEGISLATIVO_PERCAPITA","RECEITA_IPTU_PERCAPITA","COTA_PARTE_FPM_PERCAPITA","DESP_SAUDE_SANEAMENTO_PERCAPITA","OPERACOES_CREDITO_PERCAPITA"
1500404,0.58,8.65,0,NA,0.237191381590111,19.922633954448,NA,74.371102815054,56.2078272338095,4.02253599896219,631.702152586592,302.557465298298,1.11827813034285
1500503,0.65,35.01,20.42,1694.55370478413,0.49448583167533,41.9152239175446,NA,81.7833430571762,168.758421820303,0.035046674445741,929.675446907818,1382.20864002334,0.977009871420257
1500602,0.56,69.69,10.29,0.750354374044774,1.17110488295873,290.366910307753,NA,46.2831587199772,49.1520207635474,35.3300224106938,536.290340753411,867.840386049937,3.24827151481938
1500701,0.62,21.42,7.14,NA,0.126082846894331,4.68127455717229,NA,0.119427367819785,80.0718121452286,0.0266134732783549,995.52372460819,809.219679768662,0.328636643369158
1500800,0.52,31.96,4.39,190.255794961339,0.598300338931033,175.269720906473,4.36814768013568,32.8871105188626,40.3547545208844,54.4362598949826,276.884989870044,1093.85726067196,2.75007254242031
1500859,0.58,78.49,3.14,NA,0.142335007612634,257.299730513425,NA,108.424113029827,99.1099811616954,6.13036609105181,875.52951177394,721.000796232339,0.206304402048433
1500909,0.56,13.46,4.49,216.513517151639,0.166496615509582,28.0685976871157,NA,104.910439055033,58.4241249186727,0.799435981423732,893.738202050569,747.638335763803,0.746501881584069
1500958,0.56,33.65,4.21,NA,0.0391326752654412,37.6349085694859,NA,100.818373012535,103.716796079751,0.064377471187011,1340.50956170607,959.847708841592,0.387851974241129
1501006,0.6,5.47,0,NA,NA,5.57686912196747,NA,54.6944778567523,62.3939398578458,NA,1089.02659431383,796.058177145981,NA
1501105,0.48,9.41,0,NA,0.00638320428867741,5.4391367561264,NA,42.7715100965759,66.9475950081525,NA,999.287417534178,595.608558572683,0.113741606999411
1501204,0.53,17.43,3.87,NA,0.351859365372692,13.204690066195,NA,0.0478524815553533,54.230946147441,0.439797060475204,771.414048527333,463.448898743247,0.841783965848911
1501253,0.62,74.42,0,NA,0.0136372014075912,78.0392809693798,NA,48.7663110890598,334.059575787646,NA,2964.76751674522,2082.19625899281,0.420112724380377
1501303,0.55,23.69,4.74,20739.5313067509,0.556873067934945,1048.66423494681,NA,48.062763521516,NA,104.873606237663,566.173448006317,1162.43364547967,1.51802076768239
1501402,0.61,7179.16,1418.89,216.735313636688,1.97659702774622,524.837713979576,19.3389309215952,56.2800254410953,83.5225882862016,196.840736011809,569.397872745421,1224.91561772529,7.15171822905144
1501451,0.58,22.1,16.58,1.54997513674789,0.00175901522434389,56.7719391753008,NA,52.8249074534505,117.711575777667,16.7999872921156,1320.99931432676,818.70630808332,0.00403599507626941
1501501,0.48,50.34,1.57,236.177828118363,0.425415729405177,145.077537376573,NA,79.5505372284361,102.248028222191,26.3039660515676,752.024029449242,768.376152563437,1.14986534718058
1501576,0.52,33.32,0,0.0537628436545404,0.429958047286737,123.771986719585,NA,50.1285198555957,NA,1.04535851152458,1327.51767453485,1270.14425603999,3.18960153351333
1501600,0.5,16.91,4.23,NA,0.17449465914073,23.7734300731367,NA,112.91324671209,90.7769442243702,NA,1578.06182934559,922.693140548249,0.311863668311345
1501709,0.58,27.62,4.87,107.472579256106,0.59430517870112,53.497888701552,NA,67.6021432865894,37.454704993419,9.16180773793081,582.586139240506,769.530735932143,1.72391460897257
1501725,0.67,28.32,12.14,NA,0.330606771179396,112.491113304141,NA,64.9207460150498,81.5599967634922,8.22754915446233,805.821523181487,825.840065943847,0.989725459165992
1501758,0.57,132.68,29.49,NA,0.149639561682161,105.767357485685,NA,82.1393188854489,146.813774141235,0.56156420462922,1761.9014978623,1703.44989385228,0.619731869740513
1501782,0.53,39.38,10.94,3682.21596079804,0.199542746463384,94.9155541363432,NA,64.3899194959748,83.4888186909346,4.92362574378719,1045.76285176759,1168.80077331992,0.872501780771401
1501808,0.58,17.76,5.61,2.41223543489642,0.384556846009858,25.1458503252092,4.71012695385536,0.0837966494652606,NA,7.57878103731957,595.865573068581,602.694096365268,1.07880285052201
1501907,0.52,36.91,0,NA,0.148972762201554,16.452010011843,NA,120.032358610507,81.4153024648321,0.541154492884387,1143.64988106468,724.19141451011,0.278840177803552
1501956,0.58,25.47,0,NA,0.0292476960464289,34.9851334104805,NA,98.0064187468161,117.716118186449,0.76075802343352,1623.49843708609,1147.27814111054,0.161389210054946
1502004,0.6,8.34,0,NA,0.0455239922646804,6.24401312533281,NA,76.5917601434469,85.0304049038822,2.9500308577624,1162.82119386181,521.537728201493,0.295846552791281
1502103,0.58,22.36,5.96,0.53776903356585,0.485485936461214,30.0529451287909,NA,75.9043403088297,38.3527752191021,2.17113955464139,534.384629985691,648.244655547606,1.2633716885862
1502152,0.55,29.84,6.49,75021.526498787,0.60299381848838,756.254556042896,75.6613737853371,0.0338838075221526,439.811850698634,50.5014866565472,465.145287562112,5172.23576836752,1.70917243471807
1502202,0.53,166.01,14.65,0.598772622666705,1.41688745001972,104.500462655906,NA,59.9484473108504,71.2017990169617,15.9742787737591,679.090710571924,778.612949825269,3.43664698067649
1502301,0.62,37.16,0,128.921795915478,0.637661704247708,22.5986855240017,NA,74.9639684281315,60.355087247372,2.03578558029236,775.497330902913,524.936304640215,1.41558820183504
1502400,0.54,45.77,7.8,1427.65907956059,0.971368176707765,143.515995678397,NA,42.9074463215712,NA,27.4285018933089,689.530842626498,936.267539738682,3.99835789598132
1502509,0.67,0,0,NA,NA,12.8958019379747,NA,78.3861347978995,106.419348171701,0.0593669605434311,1343.43185672303,779.764550272197,NA
1502608,0.56,31.08,0,NA,0.0142651015682235,31.6849473725018,NA,71.9466117500777,93.5327074914517,0.446844886540255,1238.31498290333,967.350710289089,0.146266330240449
1502707,0.54,65,11.21,0.156890871192595,1.13809402282979,129.464950552248,NA,30.977923213125,98.130468879575,25.4750805746688,892.856823183988,911.198020709595,5.16776117975518
1502756,0.5,33.48,0,NA,0.42467932277938,85.9446102954094,NA,107.154904951453,106.970670361966,9.99678992597002,1185.56877794725,851.619988095681,0.684309406897619
1502764,0.64,99.74,0,NA,0.0248799382921701,47.1092077040548,NA,45.8045739526931,199.431328726133,3.9519065260758,1419.08637859789,1233.53289897407,0.200000956630201
1502772,0.54,90.23,0,20474.3226065163,0.368168886138506,555.296933548281,NA,70.4275187969925,193.325642105263,0.805085714285714,1198.09301904762,1661.75301553885,0.225582990933108
1502806,0.57,17.7,5.9,3.32920390525912,0.0763709084060083,13.0802946059791,NA,65.136743061086,73.7944668613397,0.0153372857859187,940.013400584019,742.59398902752,0.700370994019904
1502855,0.6,0,7.08,NA,0.0812964553377276,9.29891878523249,NA,65.8119288800737,104.31180633279,0.831914712757668,1410.94399730821,678.203358362258,0.491023352628696
1502905,0.56,16.96,4.85,94.990427027289,0.10557829122307,22.6135000252951,NA,98.1278415975958,65.7973770054772,0.333905772866075,868.909253550482,641.169010469682,0.357591418822524
1502939,0.52,18.81,6.84,29.4387182819233,0.528507733233296,73.4514351999542,NA,41.5552116818275,85.3808243280213,16.6459084535941,817.384438136926,724.817110833732,3.3219594458072
1502954,0.57,42.57,14.19,NA,0.157251249958531,94.8220829468271,NA,48.3082789443814,112.336850879682,NA,1130.43680192963,1127.74470878263,1.05842536191319
1503002,0.56,22.91,11.46,NA,0.0608335663102429,25.5282684388949,NA,0.138098075160403,129.612427818515,1.31727199816682,1369.26877406049,1246.22641842346,0.602511744941086
1503044,0.62,22.35,5.59,213.171304056319,0.223630022078148,50.5870667525116,NA,0.0692239356352665,137.750812939993,11.2096876746005,1335.45400212314,1208.65133087496,0.297981428514683
1503077,0.55,36.43,12.14,NA,0.326767447547245,17.0380101474891,NA,0.0763202849856293,84.4836659515039,0.249964376796341,1128.83516374529,853.918041533417,0.585601632374728
1503093,0.54,87.25,3.79,NA,0.462466199493354,80.7580055060238,NA,0.0573492147788483,122.387882558228,0.388556255215841,1360.02327668614,1338.66447424323,1.32100118997146
1503101,0.56,9.44,9.44,NA,0.0748784151201284,6.63261258138448,8.50089630655005,0.0779679733215881,56.3367718492418,1.01234505757252,1002.61984269804,754.666558233184,0.647366876631901
1503200,0.56,36.32,19.55,NA,0.714489439401288,8.94949396301768,NA,81.221638684806,68.7558180853144,2.05087688912479,1001.56252255776,881.033121490628,1.22526477287727
1503309,0.53,64.78,0,7.66131943051935,0.415278909207859,25.4468980094877,NA,67.6437044006725,61.2839576745693,1.07972775369808,737.361933025867,529.316986164027,0.758166030446936
1503408,0.52,58.11,0,410.873898305085,0.0130733998413462,38.0357206008299,NA,0.0702556900726392,170.247942857143,9.68523002421308e-07,1543.30626634383,1139.19016755448,0.10876402342309
1503457,0.57,62.65,3.3,NA,0.128698189608599,134.737415159594,NA,101.972633453131,144.130668337235,1.62809423324211,1576.17829404201,1138.41012562234,1.1946943328762
1503507,0.58,19.38,3.23,NA,0.268171769426519,6.05095779318524,NA,107.272879987078,73.3355302858989,NA,1029.54378678727,618.117242125666,0.836016881463805
1503606,0.57,51.9,17.03,1175.12323823735,0.859344241234864,198.476146869852,NA,53.3253726259792,96.5491306745382,61.1264617156203,484.575063577534,868.806785847511,2.3194703192553
1503705,0.62,34.17,10.05,NA,0.256864013905487,43.9459449301638,NA,64.575551714435,84.413040559553,5.42770249628171,880.738275917514,661.246097600193,1.58862585835224
1503754,0.69,29.12,0,NA,0.0139025258664421,108.13669351881,NA,0.0622256883786707,276.642818401131,7.9622760169703,1491.26252474836,1548.66655644289,0.111798492315469
1503804,0.59,47.74,26.52,0.0344763571750603,0.925677874819384,22.4038792885988,NA,81.5314132654414,97.8068788288647,12.1970488238258,1192.11050096799,1182.43127801204,2.92417471574214
1503903,0.59,17.69,7.86,45.9619897407677,0.270500573960602,38.6126881713795,NA,44.8778129360665,NA,80.0387608341031,861.23016803915,1221.33227688135,1.25314129653682
1504000,0.58,10.15,6.76,NA,0.063486755064128,16.4809417469941,NA,64.6934965673509,68.9885092495519,0.20678683756637,943.069263417769,699.604802664953,0.115399298345896
1504059,0.58,93.15,8.73,NA,0.752929588332023,30.984811065555,NA,0.0763595610281489,65.4811710767619,10.2718082845749,811.73740430239,698.012431519809,1.32638423293198
1504109,0.54,0,0,NA,0.0200529418233395,24.0094925607363,NA,68.6770178681454,125.774474430068,0.00616142945163278,1472.70213924831,1122.40490326556,0.225618469764978
