"COD","INDICADOR_REND_P_FUND","SAEB_MEDIA_FUND","IDEB_2021_FUND","INDICADOR_REND_P_ENS_MEDIO","SAEB_MEDIA_ENS_MEDIO","IDEB_2021_ENS_MEDIO"
2201903,"1","6.193539","6.2","0.950477","4.181645","4"
2201919,"0.984306","4.676081","4.6","0.991965","-","-"
2201929,"0.991934","4.607368","4.6","0.890794","-","-"
2201945,"0.968369","5.212486","5","1","-","-"
2201960,"1","5.602051","5.6","0.858678","4.381626","3.8"
2201988,"1","-","-","1","3.091105","3.1"
2202000,"0.987343","5.258223","5.2","0.926246","3.973496","3.7"
2202026,"1","6.337148","6.3","0.931308","4.244014","4"
2202059,"0.99839","5.136162","5.1","0.990225","-","-"
2202075,"0.995521","4.605617","4.6","0.929761","3.891268","3.6"
2202083,"0.990323","5.482285","5.4","0.958874","-","-"
2202091,"1","5.76182","5.8","1","-","-"
2202109,"0.991062","-","-","0.871329","-","-"
2202117,"0.995975","-","-","1","-","-"
2202133,"1","4.697577","4.7","1","3.646215","3.6"
2202174,"0.986449","4.830517","4.8","0.928098","3.831655","3.6"
2202208,"0.999599","5.746344","5.7","0.954672","4.599097","4.4"
2202251,"0.993333","3.971396","3.9","1","-","-"
2202307,"0.96127","4.938351","4.7","0.961983","4.440413","4.3"
2202406,"0.995561","5.280638","5.3","0.835625","3.505416","2.9"
2202455,"0.995728","4.722684","4.7","0.945281","-","-"
2202505,"0.793154","4.506535","3.6","0.952678","-","-"
2202539,"0.991547","4.759604","4.7","0.798381","-","-"
2202554,"1","5.682878","5.7","0.937909","4.198807","3.9"
2202604,"0.999399","5.968766","6","0.978761","4.534242","4.4"
2202653,"0.934958","-","-","0.88805","-","-"
2202703,"0.998996","5.596648","5.6","0.91222","4.42252","4"
2202711,"1","5.598067","5.6","0.993927","4.386891","4.4"
2202729,"1","6.664693","6.7","0.957153","6.065058","5.8"
2202737,"0.996964","4.736423","4.7","1","-","-"
2202752,"0.908339","5.167627","4.7","0.86551","4.370046","3.8"
2202778,"0.995521","5.11135","5.1","0.96318","-","-"
2202802,"0.982802","5.537009","5.4","0.994609","-","-"
2202851,"0.995935","4.476984","4.5","1","-","-"
2202901,"0.951613","4.68111","4.5","0.795094","4.122363","3.3"
2203008,"1","-","-","0.965975","-","-"
2203107,"0.945513","5.621261","5.3","0.764946","4.21111","3.2"
2203206,"0.991538","5.203028","5.2","0.990664","4.040039","4"
2203230,"0.830642","5.107478","4.2","0.769149","-","-"
2203255,"1","-","-","1","3.747359","3.7"
2203271,"0.983544","5.064233","5","0.940499","3.950857","3.7"
2203305,"0.996592","5.628329","5.6","0.916384","4.151587","3.8"
2203354,"1","-","-","0.784675","-","-"
2203404,"0.997577","6.10944","6.1","1","-","-"
2203420,"1","8.299611","8.3","0.940155","4.229943","4"
2203453,"1","4.901233","4.9","1","2.994897","3"
2203503,"0.974882","4.885652","4.8","0.997992","4.242461","4.2"
2203602,"0.99469","5.053391","5","0.993927","4.028587","4"
2203701,"0.975245","4.955573","4.8","0.91125","4.312056","3.9"
2203750,"0.943881","-","-","1","-","-"
2203800,"0.956475","-","-","0.909769","-","-"
2203859,"1","5.351634","5.4","0.835518","-","-"
2203909,"0.943223","5.854915","5.5","0.90063","4.8329","4.4"
2204006,"1","5.637022","5.6","0.985901","4.675508","4.6"
