UF,COD,MUN,ARRECADACAO_TOTAL_IMPOSTOS
BA,2904050,Bonito,909564.197899976
BA,2904100,Boquira,997911.497897596
BA,2904209,Botuporã,573437.551540155
BA,2904308,Brejões,1185068.0393116
BA,2904407,Brejolândia,698786.471115307
BA,2904506,Brotas de Macaúbas,1244588.7087323
BA,2904605,Brumado,14623032.3486153
BA,2904704,Buerarema,921155.535557028
BA,2904753,Buritirama,4941050.16090524
BA,2904803,Caatiba,502897.48258595
BA,2904852,Cabaceiras do Paraguaçu,356596.356113545
BA,2904902,Cachoeira,1285308.64071074
BA,2905008,Caculé,1827349.38233503
BA,2905107,Caém,662876.893798211
BA,2905156,Caetanos,272204.960330763
BA,2905206,Caetité,11162096.8576043
BA,2905305,Cafarnaum,2064478.93694462
BA,2905404,Cairu,7505931.24581772
BA,2905503,Caldeirão Grande,274717.158090163
BA,2905602,Camacan,2080248.33326568
BA,2905701,Camaçari,298404200.216257
BA,2905800,Camamu,1512620.63651781
BA,2905909,Campo Alegre de Lourdes,1989205.3411444
BA,2906006,Campo Formoso,16060311.8495798
BA,2906105,Canápolis,689027.523011967
BA,2906204,Canarana,65327.2247540788
BA,2906303,Canavieiras,2592961.01545553
BA,2906402,Candeal,299961.793496667
BA,2906501,Candeias,81430507.4846331
BA,2906600,Candiba,732694.042756634
BA,2906709,Cândido Sales,1587901.31504253
BA,2906808,Cansanção,1488802.23923971
BA,2906824,Canudos,950786.731496979
BA,2906857,Capela do Alto Alegre,577377.946588536
BA,2906873,Capim Grosso,2379286.05944233
BA,2906899,Caraíbas,910206.146096803
BA,2906907,Caravelas,6138073.3228791
BA,2907004,Cardeal da Silva,1151196.21123865
BA,2907103,Carinhanha,1280550.26022032
BA,2907202,Casa Nova,2780609.34378495
BA,2907301,Castro Alves,430238.945604149
BA,2907400,Catolândia,131506.674102067
BA,2907509,Catu,17335738.0193353
BA,2907558,Caturama,290763.585871341
BA,2907608,Central,708667.666735741
BA,2907707,Chorrochó,278724.564636208
BA,2907806,Cícero Dantas,1735404.2839555
BA,2907905,Cipó,309025.998641434
BA,2908002,Coaraci,1420102.54008492
BA,2908101,Cocos,2203332.75041981
BA,2908200,Conceição da Feira,1016300.24575279
BA,2908309,Conceição do Almeida,651074.893382567
BA,2908408,Conceição do Coité,3418612.98106606
BA,2908507,Conceição do Jacuípe,891144.457355324
BA,2908606,Conde,3607163.1592191
BA,2908705,Condeúba,970104.870255124
BA,2908804,Contendas do Sincorá,658103.127229962
BA,2908903,Coração de Maria,1053904.74827553
BA,2909000,Cordeiros,432883.952568294
BA,2909109,Coribe,1541496.75214018
BA,2909208,Coronel João Sá,1185210.79818001
BA,2909307,Correntina,9078545.99162861
BA,2909406,Cotegipe,1068459.52658273
BA,2909505,Cravolândia,429841.94034733
BA,2909604,Crisópolis,497085.894295557
BA,2909703,Cristópolis,542701.337747461
BA,2909802,Cruz das Almas,888963.265417087
BA,2909901,Curaçá,2363096.15648534
BA,2910008,Dário Meira,758291.152691574
BA,2910057,Dias d'Ávila,7149913.81652619
BA,2910107,Dom Basílio,325053.039964539
BA,2910206,Dom Macedo Costa,275677.633999029
BA,2910305,Elísio Medrado,533874.65261493
BA,2910404,Encruzilhada,1050186.98977343
BA,2910503,Entre Rios,11266306.0652803
BA,2910602,Esplanada,12252434.9560586
BA,2910701,Euclides da Cunha,4932715.82000605
BA,2910727,Eunápolis,33261656.8623467
BA,2910750,Fátima,839791.135183243
BA,2910776,Feira da Mata,195870.853472282
BA,2910800,Feira de Santana,249094563.661121
BA,2910859,Filadélfia,132749.58198437
BA,2910909,Firmino Alves,78059.7990910984
BA,2911006,Floresta Azul,288113.539111922
BA,2911105,Formosa do Rio Preto,6439901.33478595
BA,2911204,Gandu,2510296.61459329
BA,2911253,Gavião,51653.3506898686
BA,2911303,Gentio do Ouro,3856321.27253088
BA,2911402,Glória,1122553.20153374
BA,2911501,Gongogi,208018.059349366
BA,2911600,Governador Mangabeira,1374958.78933078
BA,2911659,Guajeru,189394.596876791
BA,2911709,Guanambi,7914088.82078705
BA,2911808,Guaratinga,899661.584859195
BA,2911857,Heliópolis,455126.203452081
BA,2911907,Iaçu,1590484.41355816
BA,2912004,Ibiassucê,414873.74154782
BA,2912103,Ibicaraí,713598.022546812
BA,2912202,Ibicoara,1583966.17690408
BA,2912301,Ibicuí,1491625.34860262
BA,2912400,Ibipeba,891551.685806082
BA,2912509,Ibipitanga,486236.832320204
BA,2912608,Ibiquera,170168.420705867
BA,2912707,Ibirapitanga,848814.844171147
BA,2912806,Ibirapuã,1675798.58764955
BA,2912905,Ibirataia,784415.19476283
BA,2913002,Ibitiara,439431.197107789
BA,2913101,Ibititá,899078.288391075
BA,2913200,Ibotirama,3946370.00604507
BA,2913309,Ichu,175466.811498758
BA,2913408,Igaporã,1351279.23943819
BA,2913457,Igrapiúna,283416.343924366
BA,2913507,Iguaí,1062029.66414061
BA,2913606,Ilhéus,52134347.4856604
BA,2913705,Inhambupe,2579620.48589632
BA,2913804,Ipecaetá,536948.442215317
BA,2913903,Ipiaú,4831460.59567102
BA,2914000,Ipirá,4075330.41761141
BA,2914109,Ipupiara,989449.308948982
BA,2914208,Irajuba,978275.63150346
BA,2914307,Iramaia,431666.240243229
BA,2914406,Iraquara,1089778.0349637
BA,2914505,Irará,1463231.84979328
BA,2914604,Irecê,16079221.1511873
BA,2914653,Itabela,2398914.06867939
BA,2914703,Itaberaba,7743839.83515851
BA,2914802,Itabuna,57238583.7010317
BA,2914901,Itacaré,8479193.74441135
BA,2915007,Itaeté,558585.401377936
BA,2915106,Itagi,440790.081825685
BA,2915205,Itagibá,6232680.63327693
BA,2915304,Itagimirim,1224684.44759641
BA,2915353,Itaguaçu da Bahia,794691.412545606
BA,2915403,Itaju do Colônia,542124.975271752
BA,2915502,Itajuípe,1005891.54871116
BA,2915601,Itamaraju,5257559.38364956
BA,2915700,Itamari,212961.883107236
BA,2915809,Itambé,1622383.40795892
BA,2915908,Itanagra,2238171.67212466
BA,2916005,Itanhém,1347503.88571806
BA,2916104,Itaparica,4067080.638596
BA,2916203,Itapé,514542.240705246
BA,2916302,Itapebi,161738.922043961
BA,2916401,Itapetinga,8446993.46325355
BA,2916500,Itapicuru,150039.697209127
BA,2916609,Itapitanga,248340.374046999
BA,2916708,Itaquara,297223.512709556
BA,2916807,Itarantim,658843.423236313
BA,2916856,Itatim,2066940.03241083
BA,2916906,Itiruçu,610787.193940935
BA,2917003,Itiúba,1627334.99655741
BA,2917102,Itororó,884375.952468738
BA,2917201,Ituaçu,77450.8899320755
BA,2917300,Ituberá,1838927.95980487
BA,2917334,Iuiú,495119.874946281
BA,2917359,Jaborandi,1888347.94949525
BA,2917409,Jacaraci,893613.979263502
BA,2917508,Jacobina,18030708.069579
BA,2917607,Jaguaquara,3413966.77534045
BA,2917706,Jaguarari,5468716.53111365
BA,2917805,Jaguaripe,6019020.19146382
BA,2917904,Jandaíra,1028705.51205602
BA,2918001,Jequié,29853795.0057419
BA,2918100,Jeremoabo,3702908.21878592
BA,2918209,Jiquiriçá,504838.443143125
BA,2918308,Jitaúna,420016.99964659
BA,2918357,João Dourado,907539.092592684
BA,2918407,Juazeiro,50145887.7470096
BA,2918456,Jucuruçu,621351.295497394
BA,2918506,Jussara,586031.025476159
BA,2918555,Jussari,316195.798081427
BA,2918605,Jussiape,674633.395872132
BA,2918704,Lafaiete Coutinho,207785.900530474
BA,2918753,Lagoa Real,433753.94637254
BA,2918803,Laje,471379.163684734
BA,2918902,Lajedão,705969.984679344
BA,2919009,Lajedinho,204753.260140475
BA,2919058,Lajedo do Tabocal,369037.025781874
BA,2919108,Lamarão,307378.067646196
BA,2919157,Lapão,1309042.20257478
BA,2919207,Lauro de Freitas,170556894.112415
BA,2919306,Lençóis,2928345.83745861
BA,2919405,Licínio de Almeida,676888.153777193
BA,2919504,Livramento de Nossa Senhora,3159003.52563357
BA,2919553,Luís Eduardo Magalhães,66365512.9308157
BA,2919603,Macajuba,734265.853696129
BA,2919702,Macarani,1100075.39321743
BA,2919801,Macaúbas,2105722.60075518
BA,2919900,Macururé,380757.729581365
BA,2919926,Madre de Deus,12658803.4071251
BA,2919959,Maetinga,268291.952500929
BA,2920007,Maiquinique,357886.806976359
BA,2920106,Mairi,1042342.2749005
BA,2920205,Malhada,832621.279327631
BA,2920304,Malhada de Pedras,285829.450213815
BA,2920403,Manoel Vitorino,1756358.31666732
BA,2920452,Mansidão,1229447.72085957
BA,2920502,Maracás,7089614.90561206
BA,2920601,Maragogipe,3660970.54029113
BA,2920700,Maraú,7091750.22652358
BA,2920809,Marcionílio Souza,1441157.94653491
BA,2920908,Mascote,1013619.90893481
BA,2921005,Mata de São João,91372872.2764773
BA,2921054,Matina,320701.204099202
BA,2921104,Medeiros Neto,1217932.14424978
BA,2921203,Miguel Calmon,1142308.60065702
BA,2921302,Milagres,1323868.89048775
BA,2921401,Mirangaba,481199.317605702
BA,2921450,Mirante,954514.388375824
BA,2921500,Monte Santo,2086136.35446207
BA,2921609,Morpará,506110.988030466
BA,2921708,Morro do Chapéu,7549228.6638125
BA,2921807,Mortugaba,318654.106957991
BA,2921906,Mucugê,299919.574099087
BA,2922003,Mucuri,15390099.0858557
BA,2922052,Mulungu do Morro,1508156.42757823
BA,2922102,Mundo Novo,816804.663133694
BA,2922201,Muniz Ferreira,264057.601306814
BA,2922250,Muquém de São Francisco,845294.601878907
BA,2922300,Muritiba,1262316.51171324
BA,2922409,Mutuípe,1256122.01352289
BA,2922508,Nazaré,1696111.69790307
BA,2922607,Nilo Peçanha,253989.936680402
BA,2922656,Nordestina,1009948.06761766
BA,2922706,Nova Canaã,826764.491869251
BA,2922730,Nova Fátima,331952.218810181
BA,2922755,Nova Ibiá,196756.424825553
BA,2922805,Nova Itarana,1140336.943165
BA,2922854,Nova Redenção,358859.514817104
BA,2922904,Nova Soure,1255849.22007243
BA,2923001,Nova Viçosa,7259877.5506586
BA,2923035,Novo Horizonte,732654.986052832
BA,2923050,Novo Triunfo,322029.275631887
BA,2923100,Olindina,823976.934603526
BA,2923209,Oliveira dos Brejinhos,1643788.35532517
BA,2923308,Ouriçangas,439838.832434828
BA,2923357,Ourolândia,2100790.53196078
BA,2923407,Palmas de Monte Alto,1780794.54019133
BA,2923506,Palmeiras,149833.503251364
BA,2923605,Paramirim,1800839.58052029
BA,2923704,Paratinga,1533402.8169976
BA,2923803,Paripiranga,1381361.99624784
BA,2923902,Pau Brasil,331820.975566246
BA,2924009,Paulo Afonso,17531904.4530393
BA,2924058,Pé de Serra,352909.219325462
BA,2924108,Pedrão,259395.537663649
BA,2924207,Pedro Alexandre,988580.118639913
BA,2924306,Piatã,1284512.89840856
BA,2924405,Pilão Arcado,4754780.64568365
BA,2924504,Pindaí,5266980.12524731
BA,2924603,Pindobaçu,822969.392682562
BA,2924652,Pintadas,589037.136848841
BA,2924678,Piraí do Norte,361793.080832793
BA,2924702,Piripá,289074.409930119
BA,2924801,Piritiba,1264250.30064858
BA,2924900,Planaltino,742278.957224015
BA,2925006,Planalto,1832410.34543216
BA,2925105,Poções,6936349.95825234
BA,2925204,Pojuca,14735520.9740213
BA,2925253,Ponto Novo,880714.440338507
BA,2925303,Porto Seguro,40137292.9574231
BA,2925402,Potiraguá,670157.462741233
BA,2925501,Prado,5636913.05156938
BA,2925600,Presidente Dutra,924373.301235541
BA,2925709,Presidente Jânio Quadros,722700.395421995
BA,2925758,Presidente Tancredo Neves,801519.005099773
BA,2925808,Queimadas,835274.541777318
BA,2925907,Quijingue,1343994.44958115
BA,2925931,Quixabeira,478373.746470339
BA,2925956,Rafael Jambeiro,1116693.24967202
BA,2926004,Remanso,3098506.5343534
BA,2926103,Retirolândia,392552.464349143
BA,2926202,Riachão das Neves,3526909.91403354
BA,2926301,Riachão do Jacuípe,2645627.73426117
BA,2926400,Riacho de Santana,2817155.27218567
BA,2926509,Ribeira do Amparo,405348.466937256
BA,2926608,Ribeira do Pombal,3724306.95017672
BA,2926657,Ribeirão do Largo,697964.900717137
BA,2926707,Rio de Contas,744871.036080408
BA,2926806,Rio do Antônio,580386.45818936
BA,2926905,Rio do Pires,586610.208732804
BA,2927002,Rio Real,2264665.58866882
BA,2927101,Rodelas,917902.28274477
BA,2927200,Ruy Barbosa,319893.872661287
BA,2927309,Salinas da Margarida,1268277.42188902
BA,2927408,Salvador,2120969716.61284
BA,2927507,Santa Bárbara,938128.456529826
BA,2927606,Santa Brígida,694014.39701562
BA,2927705,Santa Cruz Cabrália,8828241.0137515
BA,2927804,Santa Cruz da Vitória,133204.476504262
BA,2927903,Santa Inês,573159.453311976
BA,2928000,Santaluz,1752301.20283248
BA,2928059,Santa Luzia,576379.12686414
BA,2928109,Santa Maria da Vitória,4039797.49147972
BA,2928208,Santana,1332130.40395185
BA,2928307,Santanópolis,180645.324230541
BA,2928406,Santa Rita de Cássia,2920365.93708669
BA,2928505,Santa Teresinha,770506.093211982
BA,2928604,Santo Amaro,8943512.68488331
BA,2928703,Santo Antônio de Jesus,29633658.1603108
BA,2928802,Santo Estêvão,5510761.11207723
BA,2928901,São Desidério,22067658.0869869
BA,2928950,São Domingos,486085.535888157
BA,2929008,São Félix,614712.110595013
BA,2929057,São Félix do Coribe,1524599.05712105
BA,2929107,São Felipe,283638.570175233
BA,2929206,São Francisco do Conde,41787947.8423368
BA,2929255,São Gabriel,157203.485821379
BA,2929305,São Gonçalo dos Campos,2770264.5964115
BA,2929354,São José da Vitória,163418.763764629
BA,2929370,São José do Jacuípe,354426.949910929
BA,2929404,São Miguel das Matas,396857.574405659
BA,2929503,São Sebastião do Passé,15608392.8637951
BA,2929602,Sapeaçu,755914.783227304
BA,2929701,Sátiro Dias,543168.749696454
BA,2929750,Saubara,1450582.87314583
BA,2929800,Saúde,562103.115224718
BA,2929909,Seabra,4958388.69098826
BA,2930006,Sebastião Laranjeiras,454571.032734244
BA,2930105,Senhor do Bonfim,1887189.53169504
BA,2930154,Serra do Ramalho,1787579.26371352
BA,2930204,Sento Sé,10395792.8612386
BA,2930303,Serra Dourada,549838.737526661
BA,2930402,Serra Preta,367412.753445654
BA,2930501,Serrinha,8733279.03374479
BA,2930600,Serrolândia,223843.122500035
