UF,COD,MUN,VALOR_TOTAL_BF
BA,2903102,Barra do Rocha,736338
BA,2903201,Barreiras,7033568
BA,2903235,Barro Alto,1157507
BA,2903276,Barrocas,1143.14
BA,2903300,Governador Lomanto Júnior,785693
BA,2903409,Belmonte,1655784
BA,2903508,Belo Campo,1324318
BA,2903607,Biritinga,1943096
BA,2903706,Boa Nova,1092308
BA,2903805,Boa Vista do Tupim,1840317
BA,2903904,Bom Jesus da Lapa,4099363
BA,2903953,Bom Jesus da Serra,839978
BA,2904001,Boninal,1060945
BA,2904050,Bonito,1185953
BA,2904100,Boquira,1523229
BA,2904209,Botuporã,938082
BA,2904308,Brejões,1081557
BA,2904407,Brejolândia,658449
BA,2904506,Brotas de Macaúbas,1306995
BA,2904605,Brumado,2579967
BA,2904704,Buerarema,1114082
BA,2904753,Buritirama,2069854
BA,2904803,Caatiba,506788
BA,2904852,Cabaceiras do Paraguaçu,1575368
BA,2904902,Cachoeira,2810153
BA,2905008,Caculé,788245
BA,2905107,Caém,1186464
BA,2905156,Caetanos,1195392
BA,2905206,Caetité,2991272
BA,2905305,Cafarnaum,1528922
BA,2905404,Cairu,1086446
BA,2905503,Caldeirão Grande,1509439
BA,2905602,Camacan,1505283
BA,2905701,Camaçari,17165518
BA,2905800,Camamu,2538236
BA,2905909,Campo Alegre de Lourdes,2176745
BA,2906006,Campo Formoso,5861807
BA,2906105,Canápolis,631.93
BA,2906204,Canarana,1856219
BA,2906303,Canavieiras,2783702
BA,2906402,Candeal,668139
BA,2906501,Candeias,5849602
BA,2906600,Candiba,1002344
BA,2906709,Cândido Sales,2793476
BA,2906808,Cansanção,3571456
BA,2906824,Canudos,1587387
BA,2906857,Capela do Alto Alegre,747334
BA,2906873,Capim Grosso,2092588
BA,2906899,Caraíbas,674276
BA,2906907,Caravelas,1377531
BA,2907004,Cardeal da Silva,1097095
BA,2907103,Carinhanha,3032269
BA,2907202,Casa Nova,6492444
BA,2907301,Castro Alves,1918842
BA,2907400,Catolândia,319369
BA,2907509,Catu,4200437
BA,2907558,Caturama,511864
BA,2907608,Central,951341
BA,2907707,Chorrochó,1067187
BA,2907806,Cícero Dantas,2233795
BA,2907905,Cipó,1620067
BA,2908002,Coaraci,1590113
BA,2908101,Cocos,1647376
BA,2908200,Conceição da Feira,1462682
BA,2908309,Conceição do Almeida,1289098
